StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q125,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q4,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q145,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q156,Q157_First Click,Q157_Last Click,Q157_Page Submit,Q157_Click Count,Q167,Q168_First Click,Q168_Last Click,Q168_Page Submit,Q168_Click Count,Q178,Q179_First Click,Q179_Last Click,Q179_Page Submit,Q179_Click Count,Q225,Q226_First Click,Q226_Last Click,Q226_Page Submit,Q226_Click Count,Q227,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,Q229,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,Q231,Q232_First Click,Q232_Last Click,Q232_Page Submit,Q232_Click Count,Q5_1,Q6_1,Q227,Q229,Q231,Q233,Q235,Q237,Q104,Q47,Q48,Q132,Q105,Q127,Q128,Q133,Q52,Q129,Q130,Q134,Q92,Q97,Q98,Q99,Q100,Q8_1,Q62_1,Q63_1,Q64_1,Q83_1,Q66_1,Q67_1,Q68_1,Q69_1,Q74_1,Q75_1,Q76_1,Q77_1,Q80_1,Q81_1,Q91,Q38,Q40_1,Carta1_DO,Forbice1_DO,Sasso1_DO,Forbice2_DO,Carta2_DO,Sasso2_DO,Forbice3_DO,Carta3_DO,Sasso3_DO,Forbice4_DO,Carta4_DO,Sasso4_DO,Forbice5_DO,Carta5_DO,Sasso5_DO,Sasso6_DO,Carta6_DO,Forbice6_DO,Sasso7_DO,Carta7_DO,Forbice7_DO,Sasso8_DO,Carta8_DO,Forbice8_DO,Carta9_DO,Sasso9_DO,Forbice9_DO,Sasso10_DO,Carta10_DO,Forbice10_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Bentornat*, ti chiediamo di inserire un codice che ci permetterà di collegare le risposte che hai dato al precedente questionario con quelle che darai adesso.RIusa lo stesso codice composto dalla 1° e 2° lettera del tuo nome, dalla 1° e 2° lettera della tua città di nascita e i quattro numeri che compongono il tuo giorno e mese di nascita. Esempio: Marco da Vicenza 01/03/1990  = mavi0103",1. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,2. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,3. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,4. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,5. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,6. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,7. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,8. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,9. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,10. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Secondo te il Computer forniva risposte a caso o in modo strategico? - .,Quanto hai modificato la tua strategia di gioco tra il primo e il secondo questionario? - Ho cambiato la mia strategia:,1. 10 lanci della moneta hanno prodotto il seguente risultato: CTTTCTTTCT,2. 10 lanci della moneta hanno prodotto il seguente risultato: TCCCCTTTCT,3. 10 lanci della moneta hanno prodotto il seguente risultato: CTCTCCCCCC,4. 10 lanci della moneta hanno prodotto il seguente risultato: TCTTCTTCCT,5. 10 lanci della moneta hanno prodotto il seguente risultato: CTTCCTTCTC,"Ora immagina che le sequenze che ti abbiamo presentato in precedenza siano 50 lanci consecutivi della stessa moneta, valuta nel complesso quanto casuali o predeterminati siano stati i risultati.",Quanto brutto o bello ritieni questo quadro?,Quanto familiare ti sembra questo quadro?,Pensi che l'opera sia stata generata in modo casuale?,Ti sembra che nel dipinto siano presenti dei pattern visivi o delle figure particolari?,Quanto brutto o bello ritieni questo quadro?,Quanto familiare ti sembra questo quadro?,Pensi che l'opera sia stata generata in modo casuale?,Ti sembra che nel dipinto siano presenti dei pattern visivi o delle figure particolari?,Quanto brutto o bello ritieni questo quadro?,Quanto familiare ti sembra questo quadro?,Pensi che l'opera sia stata generata in modo casuale?,Ti sembra che nel dipinto siano presenti dei pattern visivi o delle figure particolari?,Ho bisogno di stare sulla difensiva con gli/ altr*,Le persone cercano di farmi arrabbiare,Gli estranei/amici mi guardano in modo critico,Le persone ridono di me,I miei pensieri/azioni potrebbero essere controllati da altr*,"1. Il governo è coinvolto nell’assassinio di
cittadini innocenti e/o di famose figure pubbliche, e lo mantiene segreto - è probabile che questa affermazione sia vera","2.     Il potere detenuto dai capi di stato è
subordinato a quello di un gruppo sconosciuto che controlla realmente le
politiche mondiali - è probabile che questa affermazione sia vera","3.     Ci sono organizzazioni segrete che comunicano
con gli extraterrestri, ma tengono nascosto questo fatto alla popolazione - è probabile che questa affermazione sia vera","4.     La diffusione di alcuni virus e/o malattie è
il risultato di sforzi deliberati e nascosti di alcune organizzazioni. - è probabile che questa affermazione sia vera","5.     Gruppi di scienziati manipolano, fabbricano o
censurano evidenze allo scopo di ingannare la popolazione. - è probabile che questa affermazione sia vera","6.     Il governo permette o perpetra atti di
terrorismo sul proprio territorio, mascherando il suo coinvolgimento. - è probabile che questa affermazione sia vera","7.     Un piccolo gruppo segreto di persone è il
responsabile di tutte le maggiori decisioni mondiali, come il far scoppiare le
guerre - è probabile che questa affermazione sia vera","8.     La prova del contatto alieno è stata nascosta
alla popolazione - è probabile che questa affermazione sia vera","9.     Tecnologie con capacità di controllo mentale
sono usate sulle persone senza che lo sappiano - è probabile che questa affermazione sia vera","10.  Nuove ed avanzate tecnologie che
danneggerebbero l’attuale industria sono state soppresse - è probabile che questa affermazione sia vera","11.  Il governo usa persone come capri espiatori
per nascondere il suo coinvolgimento in attività criminali - è probabile che questa affermazione sia vera","12.  Alcuni fatti significativi sono stati il
risultato dell’attività di un piccolo gruppo che segretamente manipola eventi
mondiali - è probabile che questa affermazione sia vera","13.  Alcuni avvistamenti e dicerie sugli UFO sono
stati pianificati o messi in scena allo scopo di distrarre la popolazione dal
vero contatto alieno - è probabile che questa affermazione sia vera","14.  Esperimenti che coinvolgono nuovi farmaci o
tecnologie sono quotidianamente portati avanti alle spalle della popolazione,
senza il loro consenso - è probabile che questa affermazione sia vera","15.  Molte informazioni importanti sono
deliberatamente nascoste al pubblico per interessi personali - è probabile che questa affermazione sia vera",Genere,Età (in cifre),Come consideri il tuo orientamento politico?,Carta 1 - Display Order,Forbice 1 - Display Order,Sasso 1 - Display Order,Forbice 2 - Display Order,Carta 2 - Display Order,Sasso 2 - Display Order,Forbice 3 - Display Order,Carta 3 - Display Order,Sasso 3 - Display Order,Forbice 4 - Display Order,Carta 4 - Display Order,Sasso 4 - Display Order,Forbice 5 - Display Order,Carta 5 - Display Order,Sasso 5 - Display Order,Sasso 6 - Display Order,Carta 6 - Display Order,Forbice 6 - Display Order,Sasso 7 - Display Order,Carta 7 - Display Order,Forbice 7 - Display Order,Sasso 8 - Display Order,Carta 8 - Display Order,Forbice 8 - Display Order,Carta 9 - Display Order,Sasso 9 - Display Order,Forbice 9 - Display Order,Sasso 10 - Display Order,Carta 10 - Display Order,Forbice 10 - Display Order
2021-04-11 07:12:16,2021-04-11 07:17:23,0,2.37.51.136,100,306,1,2021-04-11 07:17:23,R_1gI5yg5vhD56b9r,,,,,45.37939453125,11.7816009521484,anonymous,EN,Atad16,,,,,,1,1.98,34.022,34.688,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,59,,,,,,,,7,1,,,,,,4,,,,5,5,2,5,5,10,10,10,10,10,10,10,7,4,5,6,6,6,5,,G,333,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11 17:59:54,2021-04-11 17:59:59,1,,100,4,1,2021-04-11 17:59:59,R_3qEG3fdPRMpjdF6,,,,,45.4096069335938,11.8946990966797,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11 18:01:03,2021-04-11 18:01:21,1,,100,17,1,2021-04-11 18:01:21,R_3r2FTkFMV0pSe8B,,,,,45.5050048828125,9.21989440917969,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11 18:02:06,2021-04-11 18:02:54,1,,100,48,1,2021-04-11 18:02:55,R_2653FsboRKlaG4b,,,,,45.4096069335938,11.8946990966797,preview,EN,,,1.07,1.07,1.759,1,,0,0,1.358,0,,0,0,1.317,0,,0,0,1.354,0,,0,0,1.191,0,,0,0,1.152,0,,0,0,1.29,0,,0,0,1,0,,0,0,1.067,0,,0,0,1.211,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-11 18:06:41,2021-04-11 18:09:50,1,,100,188,1,2021-04-11 18:09:51,R_3sulHxpKNagkmSJ,,,,,45.5050048828125,9.21989440917969,preview,EN,aria0103,3,1.255,1.255,2.385,1,2,0.429,0.429,2.66,1,1,1.179,1.179,2.33,1,3,0.489,0.489,1.432,1,3,0.765,0.765,1.829,1,2,0.785,2.097,2.618,2,2,1.611,1.611,2.692,1,2,0.558,0.558,1.929,1,2,0.869,0.869,2.125,1,2,0.94,0.94,2.468,1,75,75,,,,,,,6,7,5,6,5,6,5,5,6,6,5,,,,,,,5,10,,,,,,,,,,,,,,qwr,123,96,,sasso,,,,sasso,,sasso,,carta,,,forbice,,,carta,,,forbice,,,forbice,,,,carta,,forbice,,
2021-04-12 09:13:07,2021-04-12 09:28:38,0,176.247.170.16,100,931,1,2021-04-12 09:28:39,R_aVSq6MjHZraAh1f,,,,,45.6495971679688,11.7866973876953,anonymous,EN,RUIC0906,1,1.076,1.076,2.512,1,2,0.565,0.565,1.433,1,3,0.708,0.708,1.55,1,2,0.562,0.562,1.42,1,1,2.218,2.218,4.539,1,1,1.264,1.264,2.131,1,3,0.714,0.714,1.526,1,1,1.105,1.105,2.012,1,3,0.935,0.935,1.77,1,1,0.894,0.894,1.751,1,100,,,,,,,,2,2,6,1,4,1,6,1,1,1,6,1,5,5,5,5,5,10,6,6,6,7,6,5,6,7,8,9,9,8,9,10,SONO GABRIEL,2E+028,24,carta,,,,,sasso,sasso,,,,,sasso,,carta,sasso,,sasso,,,,carta,,forbice,,,,sasso,,carta,
2021-04-12 12:02:43,2021-04-12 12:07:17,0,87.5.40.248,100,274,1,2021-04-12 12:07:17,R_1GK2gxyG8L77ojY,,,,,46.5018005371094,11.3471069335938,anonymous,EN,ieov0612,3,2.469,2.469,3.381,1,3,1.814,1.814,3.051,1,1,0.567,0.567,1.269,1,3,1.171,1.171,1.769,1,2,0.701,0.701,1.442,1,1,0.373,0.373,1.175,1,2,0.354,0.354,1.083,1,3,0.497,0.497,1.229,1,2,0.155,0.155,0.912,1,2,0.231,0.231,0.802,1,100,62,1,1,1,1,1,1,2,2,3,1,2,2,3,1,2,2,3,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,M,23,13,,carta,,forbice,,,,carta,,forbice,,,,,forbice,,carta,,sasso,,,,,sasso,,forbice,,carta,,
2021-04-12 12:03:03,2021-04-12 12:07:42,0,151.42.175.79,100,279,1,2021-04-12 12:07:42,R_1DG8lnxfPkq9H7o,,,,,44.0574951171875,12.5653076171875,anonymous,EN,usim2209,3,6.576,6.576,8.817,1,1,3.971,3.971,6.098,1,1,1.24,1.24,3.226,1,2,0.662,0.662,1.354,1,3,0.544,0.544,1.161,1,1,0.454,0.454,1.151,1,2,0.484,0.484,1.131,1,2,0.51,0.51,1.233,1,3,0.55,1.279,2.496,2,1,0.468,0.468,1.108,1,97,1,1,1,1,1,1,1,6,5,3,2,4,3,3,2,4,5,3,2,2,1,1,1,2,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,femmina,32,27,,sasso,,,sasso,,,forbice,,,,forbice,carta,,,,sasso,,carta,,,forbice,,,,,forbice,,sasso,
2021-04-12 12:03:13,2021-04-12 12:08:01,0,62.18.136.92,100,287,1,2021-04-12 12:08:01,R_s7Dq6hzpXG5Nh5L,,,,,45.5500030517578,10.25,anonymous,EN,omal1204,2,1.135,1.499,2.351,2,2,0.517,0.517,0.897,1,2,0.467,0.467,0.849,1,2,0.377,0.377,0.759,1,2,0.403,0.403,0.836,1,2,0.265,0.265,0.743,1,2,0.365,0.365,0.799,1,2,0.317,0.317,0.718,1,2,0.335,0.335,0.792,1,2,0.332,0.332,0.763,1,100,88,2,2,2,2,2,2,4,3,3,1,2,1,4,8,4,4,8,8,2,1,1,2,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,M,25,35,,,forbice,,,carta,,,forbice,,,forbice,,,carta,forbice,,,forbice,,,forbice,,,,sasso,,sasso,,
